728,672,616,560,504,448,392,336,280,224,168,112,56,0,1,57,113,169,225,281,337,393,449,505,561,617,673,729
730,674,618,562,506,450,394,338,282,226,170,114,58,2,3,59,115,171,227,283,339,395,451,507,563,619,675,731
732,676,620,564,508,452,396,340,284,228,172,116,60,4,5,61,117,173,229,285,341,397,453,509,565,621,677,733
734,678,622,566,510,454,398,342,286,230,174,118,62,6,7,63,119,175,231,287,343,399,455,511,567,623,679,735
736,680,624,568,512,456,400,344,288,232,176,120,64,8,9,65,121,177,233,289,345,401,457,513,569,625,681,737
738,682,626,570,514,458,402,346,290,234,178,122,66,10,11,67,123,179,235,291,347,403,459,515,571,627,683,739
740,684,628,572,516,460,404,348,292,236,180,124,68,12,13,69,125,181,237,293,349,405,461,517,573,629,685,741
742,686,630,574,518,462,406,350,294,238,182,126,70,14,15,71,127,183,239,295,351,407,463,519,575,631,687,743
744,688,632,576,520,464,408,352,296,240,184,128,72,16,17,73,129,185,241,297,353,409,465,521,577,633,689,745
746,690,634,578,522,466,410,354,298,242,186,130,74,18,19,75,131,187,243,299,355,411,467,523,579,635,691,747
748,692,636,580,524,468,412,356,300,244,188,132,76,20,21,77,133,189,245,301,357,413,469,525,581,637,693,749
750,694,638,582,526,470,414,358,302,246,190,134,78,22,23,79,135,191,247,303,359,415,471,527,583,639,695,751
752,696,640,584,528,472,416,360,304,248,192,136,80,24,25,81,137,193,249,305,361,417,473,529,585,641,697,753
754,698,642,586,530,474,418,362,306,250,194,138,82,26,27,83,139,195,251,307,363,419,475,531,587,643,699,755
756,700,644,588,532,476,420,364,308,252,196,140,84,28,29,85,141,197,253,309,365,421,477,533,589,645,701,757
758,702,646,590,534,478,422,366,310,254,198,142,86,30,31,87,143,199,255,311,367,423,479,535,591,647,703,759
760,704,648,592,536,480,424,368,312,256,200,144,88,32,33,89,145,201,257,313,369,425,481,537,593,649,705,761
762,706,650,594,538,482,426,370,314,258,202,146,90,34,35,91,147,203,259,315,371,427,483,539,595,651,707,763
764,708,652,596,540,484,428,372,316,260,204,148,92,36,37,93,149,205,261,317,373,429,485,541,597,653,709,765
766,710,654,598,542,486,430,374,318,262,206,150,94,38,39,95,151,207,263,319,375,431,487,543,599,655,711,767
768,712,656,600,544,488,432,376,320,264,208,152,96,40,41,97,153,209,265,321,377,433,489,545,601,657,713,769
770,714,658,602,546,490,434,378,322,266,210,154,98,42,43,99,155,211,267,323,379,435,491,547,603,659,715,771
772,716,660,604,548,492,436,380,324,268,212,156,100,44,45,101,157,213,269,325,381,437,493,549,605,661,717,773
774,718,662,606,550,494,438,382,326,270,214,158,102,46,47,103,159,215,271,327,383,439,495,551,607,663,719,775
776,720,664,608,552,496,440,384,328,272,216,160,104,48,49,105,161,217,273,329,385,441,497,553,609,665,721,777
778,722,666,610,554,498,442,386,330,274,218,162,106,50,51,107,163,219,275,331,387,443,499,555,611,667,723,779
780,724,668,612,556,500,444,388,332,276,220,164,108,52,53,109,165,221,277,333,389,445,501,557,613,669,725,781
782,726,670,614,558,502,446,390,334,278,222,166,110,54,55,111,167,223,279,335,391,447,503,559,615,671,727,783
